gene	label	hf_class	protein_ids	phenotype_vec	pheno_cluster
ABL1	1	mixed	['P00519', 'Q59FK4']	[0.330609120963493, 0.1801303043873584, 0.799257932196763]	7
ACTA1	1	mixed	['A8K3K1', 'P68133']	[-0.3802022090969142, -0.3767727668789419, 0.3287807146060952]	0
ACTA2	1	mixed	['A0AAQ5BGG7', 'A0AAQ5BGI6', 'B3KUD3', 'B3KW67', 'B4DW52', 'D2JYH4', 'P62736']	[0.0082838077798727, -0.5645607318838012, 0.3012011935562557]	1
ACTB	1	mixed	['P60709', 'Q1KLZ0', 'Q53G76', 'Q53G99', 'Q53GK6']	[0.5430777145504527, -1.1241599451600723, -0.321544046201822]	1
ACTC1	1	mixed	['A8K3K1', 'P68032', 'V9HVZ7']	[0.5559630191492352, -0.2778813036971952, 0.0206337717833732]	1
ACTG1	1	mixed	['P63261', 'Q53G76', 'Q53G99', 'Q53GK6']	[0.0564507399462426, -0.7699256810893154, 0.531727647664072]	0
ACTG2	1	mixed	['B3KW67', 'B4DW52', 'P63267']	[-0.0821246828454408, -0.813729952937585, -0.650559388994076]	4
ACTR3	1	mixed	['B4DXW1', 'P61158', 'Q59FV6']	[-0.8229979847223997, -1.3320243493157762, 0.8358050838909875]	5
AKT1	1	mixed	['B0LPE5', 'B3KVH4', 'P31749']	[0.8137495160847552, -0.0278290255355846, 0.0600508698885793]	2
ANXA2	1	mixed	['A0A024R5Z7', 'B3KRQ1', 'H0YL33', 'P07355', 'V9HW65']	[-0.6541320893172053, -0.8648053801744261, -0.1211438640255879]	4
ARPC1A	1	mixed	['A0A0K0K1L3', 'Q53GB6', 'Q92747', 'V9HVZ6']	[-0.5191704132533936, -1.3342867400902267, -0.7554282729438153]	8
ARPC1B	1	mixed	['A4D275', 'C9JEY1', 'O15143']	[1.2640593693059796, -0.4644969339564254, 0.2793370410102869]	2
ARPC2	1	mixed	['O15144', 'Q53R19']	[-1.4831787236980405, -1.3824346948936903, 0.7487299166677983]	5
ARPC3	1	mixed	['B2R4D5', 'O15145', 'Q2LE71']	[-0.6721420418303629, -1.4057002366829077, 0.5428942814586342]	5
ARPC4	1	mixed	['F8WCF6', 'P59998']	[0.158721386545896, -0.2670895847371795, -0.2685708772088611]	1
ARPC5	1	mixed	['B1ALC0', 'O15511']	[-0.5141674704482614, -0.353532258114265, 0.1101382465325448]	4
ATP6AP1	1	mixed	['A0A384MQW4', 'B3KR70', 'Q15904']	[-0.4928758473342235, -0.7159628486872736, 0.5205449597615197]	0
ATP6V0A4	1	mixed	['Q9HBG4']	[-1.0960698609673765, -1.525193952171379, 0.3127646010937532]	5
ATP6V0B	1	mixed	['E9PNL3', 'E9PNU0', 'Q99437']	[-0.4116062640236144, -0.5695928284456468, 0.1588820875932124]	4
ATP6V0C	1	mixed	['P27449']	[-0.7155382363343481, -0.8380063217600704, 0.7031564780582782]	0
ATP6V0D2	1	mixed	['Q8N8Y2']	[-0.1042948772007132, -0.005094022114962, 0.6213307691105037]	6
ATP6V0E1	1	mixed	['J3KN48', 'O15342']	[-0.2537193018781733, -0.6512150633934921, 0.4100355606208721]	0
ATP6V1A	1	mixed	['A0A994J738', 'P38606']	[-0.2739258979692446, -0.3116603175857341, 0.6929860856542508]	0
ATP6V1B1	1	mixed	['B4DWH7', 'C9JL73', 'P15313']	[-0.9280235064294878, -0.8222012846580404, -0.4873216612722296]	4
ATP6V1B2	1	mixed	['A0A140VK65', 'A0ABB0MV95', 'P21281']	[-1.5979562158913945, -0.9798146422279824, 0.2499366594412403]	5
ATP6V1C2	1	mixed	['A0A0U1RR16', 'A8KA87', 'Q8NEY4']	[0.6574296355297062, 0.2260050127965366, -0.0538345989205371]	2
ATP6V1D	1	mixed	['Q6PJ05', 'Q8N5Z9', 'Q9H3H0', 'Q9Y5K8']	[-0.0159982059832841, -0.2623101509912969, 0.4902882518160327]	7
ATP6V1E1	1	mixed	['P36543', 'Q53Y06']	[0.0271372900094894, -1.047448876894077, -0.3240064319261135]	4
ATP6V1F	1	mixed	['A4D1K0', 'Q16864']	[0.3458685383244734, -0.3279586020598112, 0.3870506862668975]	1
ATP6V1G1	1	mixed	['O75348']	[-0.6342308282828855, -0.5328560785992468, -0.3771577246472886]	4
ATP6V1G3	1	mixed	['Q96LB4']	[0.7300785442967328, -0.5628002319116648, 0.0776894431668029]	1
ATR	1	mixed	['A0A590UJ01', 'Q13535']	[-0.4141309917684541, -0.7369521520062755, 0.4260364407734003]	0
AXL	1	mixed	['M0R0W6', 'P30530']	[-0.644897927348558, -0.7915259480508381, 1.1496900119512647]	0
BANF1	1	mixed	['B2R4V4', 'O75531']	[0.541911177329472, 0.1131084130582553, 0.0716219462749241]	2
CCR5	1	mixed	['A0A089G3J8', 'A0A089G3L9', 'A0A089G3M1', 'A0A089G3N1', 'A0A089G3P4', 'A0A089G5N2', 'A0A089G6S3', 'A0A089G7J6', 'A0A089H947', 'A0A089H987', 'B0EX00', 'B0EX01', 'B2KIU0', 'B2KIU1', 'B2KKJ9', 'H9MHP3', 'H9MHP6', 'H9MHP8', 'H9MHP9', 'L7S2Y4', 'P51681', 'Q38L21', 'Q3L3Q6', 'Q5EKM9', 'Q5QIN9', 'Q5QIP1']	[-0.1845991936721607, -0.4185283495251317, 0.6286314184411816]	0
CDC42	1	mixed	['A0A590UJK8', 'P60953']	[0.3515011958128443, 0.3829455575161656, 0.5937192610118149]	6
CHEK1	1	mixed	['B4DT73', 'E7EPP6', 'O14757']	[0.6077108313985625, -0.8401651137196979, -1.431462684709619]	3
CHMP1A	1	mixed	['A0A6Q8PFF8', 'A0A6Q8PFX8', 'A0A6Q8PG85', 'Q9HD42']	[0.4123844270657928, -0.4232563525843289, 0.5048895849718144]	7
CHMP4C	1	mixed	['Q96CF2']	[0.1388592240835469, 1.0145320593758227, 0.5809098076767801]	6
CLTA	1	mixed	['C9J8P9', 'P09496']	[0.1145740443764975, -0.2878778844365047, 0.1732393405676874]	1
CLTB	1	mixed	['B4DTF9', 'P09497']	[-1.2328035808808775, -0.912897266151966, -1.6556719229380716]	8
CLTC	1	mixed	['A0A087WVQ6', 'A0A8V8TQ14', 'A0A8V8TR47', 'Q00610']	[-1.098886610405709, -0.975346250945623, 0.3323298247218598]	5
COG1	1	mixed	['Q4G0L8', 'Q8WTW3']	[0.2198876431485479, 0.5938741450888889, 0.600521508278552]	6
COG3	1	mixed	['Q96JB2']	[-0.8456589634196103, 0.6689508089720798, -0.0145722329954334]	6
COG4	1	mixed	['A0A6I8PIQ6', 'J3KNI1', 'Q6PIW8', 'Q8N8L9', 'Q9H9E3']	[-0.4818381690319363, -0.293283807847747, -0.8326120973751804]	4
COG5	1	mixed	['A0AAA9X096', 'A0AAA9X2X8', 'A0AAG2TDC7', 'A0AAG2TF56', 'Q9UP83']	[-0.231839345679086, 0.5974945954983765, 0.5466196531459104]	6
COG6	1	mixed	['A0A140VJG7', 'B4DG73', 'Q9Y2V7']	[-0.6315152214233856, -0.2434153539233623, 0.7775080538954878]	0
COG7	1	mixed	['A0A0S2Z652', 'B3KSN1', 'P83436']	[1.0214499694536698, -0.264684250666226, -0.2201829378599661]	3
COPB2	1	mixed	['H0Y938', 'P35606']	[-1.330585920277335, -1.7384761645325717, -2.2286614025625524]	8
COPE	1	mixed	['M0QXB4', 'O14579', 'Q53HJ6']	[-0.6899804984066455, -0.7100808093355993, 0.3731022668315985]	5
CSNK2B	1	mixed	['A0A1U9X7J2', 'N0E4C7', 'P67870', 'Q5SRQ3']	[-0.778763026813859, -0.2856622382290358, 0.5117819992177757]	0
CUL3	1	mixed	['Q13618']	[-0.2799729063683535, -1.234468044701199, 0.147466120607]	5
DDX3X	1	mixed	['A0A0D9SFB3', 'A0A2R8Y7T2', 'A0A2R8YDT5', 'A0A2R8YFR4', 'A0A2R8YFS5', 'B5BTY4', 'O00571']	[-0.5472053223043323, -1.2231673171808632, 0.2102729981553643]	5
EGR1	1	mixed	['A0A089VKS7', 'P18146', 'Q546S1']	[0.0550344943791665, 0.0620439957101244, 0.194093245856774]	6
EIF4E	1	mixed	['D6RBW1', 'P06730', 'Q32Q75', 'X5D7E3']	[-2.17806383921838, -0.6711398550441752, -0.2995977541937145]	8
EIF4G1	1	mixed	['B2RU10', 'E7EUU4', 'E7EX73', 'E9PGM1', 'Q04637']	[-1.591896081243538, -1.330099266897943, -0.1865642717784247]	5
ELK1	1	mixed	['P19419', 'Q6FG56']	[-0.790372187107967, -0.7929050047865547, 0.3561352170296222]	5
FLNB	1	mixed	['A0A804HK76', 'O75369']	[0.799613911294119, 0.2360349796158111, 0.5856880110839408]	2
G3BP2	1	mixed	['A0A7I2V3P9', 'A0A7I2V647', 'A0A7I2YQD9', 'A8K6V7', 'Q9UN86']	[-0.6064944261379989, -0.4359494034310184, -0.3258611194768503]	4
GAS6	1	mixed	['B4DZY7', 'Q14393']	[0.7536861808885592, 0.0010753822998756, 0.5261000694729184]	2
HSPA8	1	mixed	['P11142', 'Q53GZ6', 'Q53HF2', 'V9HW22']	[-0.6135741169292119, -0.4468909065818737, -0.2450136009184615]	4
IFIT2	1	mixed	['A0A7P0T8B3', 'B4DTZ5', 'P09913']	[0.5789394008371741, -0.3963079353988984, 0.4566935688572018]	1
IFIT3	1	mixed	['A0A7P0T7D6', 'A0A7P0T855', 'O14879', 'Q5T765']	[-0.527691272686555, -0.9960718774204528, 0.6208927138307546]	5
IFNA1	1	mixed	['G9JKF1', 'L0N195', 'P01562']	[-0.2555702065104163, -0.4015590951386099, -0.357558490936532]	4
IFNA13	1	mixed	['A0A087WWS6', 'G9JKF1']	[-0.6594744848079388, -0.4918309094113202, 0.23956147954425]	0
IFNA14	1	mixed	['P01570']	[0.0286134746149768, -1.0984397102925203, 0.343186308405338]	1
IFNA16	1	mixed	['A0A7R8C397', 'P05015', 'Q14618']	[-0.3267968480614616, -0.0844872290629929, 0.3021653590752751]	6
IFNA17	1	mixed	['A0A7R8C355', 'A0A7R8GUS8', 'P01571']	[0.3760358840728082, 0.6511307022368794, 0.4605280633191781]	6
IFNA2	1	mixed	['A0A7R8GUN5', 'A0AA50CIE2', 'P01563']	[0.4597499713519638, -0.3102936844573939, 0.4327782909340729]	1
IFNA21	1	mixed	['A0A7R8GUQ6', 'A0A7R8GUS8', 'P01568']	[0.2909963302638711, 0.1083686228035493, 0.0274103366276946]	6
IFNA4	1	mixed	['A0A7R8GUS8', 'P05014']	[-0.2453929296701316, -0.7250991579199826, 1.095445754688784]	0
IFNA5	1	mixed	['A0A7R8C382', 'P01569']	[-0.0920902672805899, -0.6423820646787028, 0.4834115658462432]	0
IFNA6	1	mixed	['A0A0A0MQU8', 'A0A7R8C308', 'P05013']	[0.9523199519786738, -0.2745615883861382, 0.8352543781055153]	7
IFNA7	1	mixed	['A0A7R8C383', 'A0A7R8GUS8', 'P01567']	[-0.3457268210195567, -0.4896427632682932, 0.662021318729753]	0
IFNA8	1	mixed	['A0A7R8C381', 'P32881']	[-1.0117583097655265, -0.5869891253399334, 0.515672397209853]	5
IFNB1	1	mixed	['A0A7R8GV38', 'P01574', 'Q15943']	[0.3877863384522579, -0.2968241329250284, 0.748047836661138]	7
IFNG	1	mixed	['A0A7R8GUN6', 'A8YQE4', 'P01579']	[0.0401134173765714, -1.298357605059972, -0.3208209927555583]	4
IL18	1	mixed	['B0YJ28', 'Q14116', 'Q96KJ8']	[0.7297106630535404, -0.2243007642824679, -0.6617909080664377]	3
INTS7	1	mixed	['Q9NVH2']	[1.039365345444617, 0.2974225529196299, -0.2084022234896879]	2
ISG15	1	mixed	['A0A096LPJ4', 'P05161']	[-1.0422503499911873, -1.5590588041564744, -0.4635130036692429]	8
ITGB1	1	mixed	['E7EUI6', 'P05556']	[-0.8152546475323232, -0.6738213764348083, 1.038070383436912]	0
KDELR1	1	mixed	['P24390']	[1.0594165808063063, 0.2444673599110534, 0.4930332358821592]	2
KDELR2	1	mixed	['P33947']	[-0.5837726436818995, -1.3645516364960666, 0.0925790571793844]	5
KPNA2	1	mixed	['A8K7D9', 'P52292']	[-1.3113498671445978, -2.310539855022148, -0.3190556243587821]	8
LAMA1	1	mixed	['P25391']	[-0.1094347270378844, -0.6768184169338622, 0.0643696740702219]	1
MAP2K2	1	mixed	['B3KS97', 'P36507']	[-0.1794725441207105, -0.685067450541168, 0.4385977950676951]	0
MAP2K3	1	mixed	['C7DUW4', 'P46734', 'Q53EZ9', 'Q6FHG1', 'Q6FI23']	[-0.1418525269332583, -0.8606701464016443, 0.0513484318323682]	1
MAP2K5	1	mixed	['B2RD76', 'Q13163']	[0.4071288832340248, 0.1143033580215456, 0.6086260107548334]	7
MAPK1	1	mixed	['P28482', 'Q1HBJ4', 'Q499G7']	[0.1969443289596459, -0.2694763308481677, 0.2411731363784295]	1
MAPK3	1	mixed	['E9PQW4', 'L7RXH5', 'P27361', 'Q8NHX0']	[-0.5228406977246925, -0.8969876873622903, -0.2936500642177533]	4
MYD88	1	mixed	['A0A0A0MSI9', 'A0A3B3ITY3', 'A0A3F2YP85', 'A0A494C0J8', 'A0A8V8TP38', 'B4E3D6', 'Q99836']	[-0.1778902237113836, -0.8160109522198171, -0.0204614179407942]	4
NCK1	1	mixed	['A0A0S2Z4Y3', 'B2R6S4', 'P16333']	[0.2057909207361911, -0.1802886238346311, 0.6897766902990948]	7
NCK2	1	mixed	['A0A0S2Z4M6', 'E7ERP6', 'O43639', 'Q53TG4']	[-0.245591345929469, -0.0557959077304464, 0.5506553490971549]	6
PAK1	1	mixed	['A8KAN3', 'B3KNX7', 'B7Z3K0', 'E9PM17', 'Q13153']	[0.3450455505630985, -0.0841416213836915, 0.6129883026070309]	7
PCNA	1	mixed	['P12004', 'Q6FI35']	[0.2095046381259211, -0.9090545308767124, -0.5226492257916103]	4
PFN1	1	mixed	['P07737']	[-0.222950105531816, -0.3798221535005484, 0.4961322908911811]	0
PIK3CB	1	mixed	['B4DER4', 'P42338']	[0.0469096439189258, -0.2552025708117554, 0.3288726438569482]	1
PIK3R1	1	mixed	['A0A2X0SFG1', 'A0A8V8TL10', 'A0A8V8TL31', 'A0A8V8TLF7', 'A0A8V8TME9', 'B3KWZ7', 'P27986']	[0.5054733755983992, -0.044883676620625, 0.5329134607453481]	7
PIK3R4	1	mixed	['A0JP11', 'Q99570']	[-0.3801802915849257, -0.7439340543095907, 0.0325938838276168]	4
PIKFYVE	1	mixed	['E9PDH4', 'Q9Y2I7', 'V9HWG4']	[-0.5683894856931051, -0.9910409331938408, -0.2389250475621556]	4
PRKAA1	1	mixed	['Q13131', 'Q96E92']	[-0.1480660908917544, -0.5318968155379112, -0.0015104215320317]	1
PRKAA2	1	mixed	['A0MZF5', 'B2RA25', 'P54646']	[-0.890460094519768, -1.0549302252882848, -0.3315411137515872]	5
PRKAB1	1	mixed	['B2R6A0', 'Q9Y478']	[0.5999062067178552, -0.2447158886475617, 0.3642173218148841]	1
PRKACA	1	mixed	['A0A8V8TL59', 'A8K8B9', 'P17612']	[-0.3040352325389834, -0.0563206327021517, 0.7547219162961122]	0
PRKACB	1	mixed	['A0A087WVC4', 'A8K8B9', 'B1APF8', 'B1APF9', 'B1APG1', 'B1APG2', 'B1APG3', 'B2RB89', 'B4E2L0', 'B7ZA00', 'K7ERP6', 'P22694']	[0.2304262763734637, -0.1268203337899301, 0.6117103026637418]	7
PRKACG	1	mixed	['P22612']	[0.0846021184242145, -0.1469603535859588, -0.7037739449548164]	3
PRKAG1	1	mixed	['F8VYY9', 'P54619']	[-0.733229125361081, -1.317526870853997, -0.8301141876080629]	8
PRKAG2	1	mixed	['A0A090N8Q6', 'A0A384MDZ2', 'A0A494C068', 'A0A494C155', 'A0A494C1K7', 'B7Z6X8', 'E9PGP6', 'Q9UGJ0']	[0.6954082287894245, -0.1330949409283401, -0.3750995353648496]	3
PRKAR1A	1	mixed	['B2R5T5', 'K7EM13', 'P10644', 'Q68DQ4']	[-1.0605078160749133, -1.455621297776597, -0.3129631794937973]	5
PRKAR2A	1	mixed	['A0A024R2W3', 'A0A0S2Z472', 'A0A9L9PXB4', 'A0A9L9PY56', 'A8KAH7', 'P13861']	[0.3731309288709095, 0.4447560569322208, 0.0916486823065007]	6
PRKDC	1	mixed	['P78527', 'A0A8V8TMR1']	[0.2243473118100397, -0.882000953769238, 0.2953885018075904]	1
PSMA1	1	mixed	['B4E0X6', 'P25786', 'V9HW55']	[-1.2227594859765771, -1.7550660401781677, -1.3481117411284207]	8
PSMA2	1	mixed	['A0A024RA52', 'P25787', 'Q53GF5']	[-1.4807649022009797, -1.5607947192138432, -1.7511614333592498]	8
PSMA3	1	mixed	['A0A140VK43', 'P25788', 'Q6IB71']	[-0.8498522713538724, -1.8329033512491155, -1.512444222358059]	8
PSMA7	1	mixed	['A0A0K0K1K4', 'O14818', 'Q05DH1']	[-0.2385013709755081, -0.7458192219490144, -1.6206375860784012]	8
PSMA8	1	mixed	['A0A087WYS6', 'B0YJ74', 'Q4G1B8', 'Q8TAA3']	[-0.4560144079951715, -0.8636745848097077, 0.200851486570666]	5
PSMB1	1	mixed	['A0A140VK45', 'P20618', 'Q53FT8']	[-1.419591303403338, -1.6499601227366576, -2.0416504989278055]	8
PSMB2	1	mixed	['A0A087WVV1', 'A0A140VJS6', 'B7Z478', 'P49721']	[-0.0099654479164438, -0.1701412275285189, -0.7842507369329488]	3
PSMB4	1	mixed	['A0A140VK46', 'P28070']	[-0.8171768546021156, -1.5488610292856029, -1.05964304933375]	8
PSMB5	1	mixed	['A0A140VJS7', 'P28074']	[-0.7708705947782157, -0.5526459387784249, -1.2287582667479289]	8
PSMB8	1	mixed	['P28062', 'Q6FHU0', 'X5CMJ9', 'X5D2R7']	[-0.1709894926144713, -0.0288958037651207, 0.7138405340270397]	7
PSMB9	1	mixed	['A0A1U9X8D7', 'A0A1U9X8E2', 'A0A1U9X8E3', 'P28065']	[-0.1870722738825455, -0.8717589955651188, 0.8606855547057496]	0
PSMC1	1	mixed	['P62191', 'Q53HB3', 'Q53XL8']	[-1.2139382997981722, -0.7789273274664992, -1.8105232231080048]	8
PSMC2	1	mixed	['A0A140VK70', 'B7Z571', 'C9JX88', 'P35998']	[2.4536600282199528, -0.6801773741472209, -1.571304765876055]	3
PSMC3	1	mixed	['A0A140VK42', 'A8K781', 'P17980']	[-0.1811817254638074, 0.1730072286722106, 0.652687420943665]	6
PSMC4	1	mixed	['A8K2M0', 'P43686']	[-0.1087298587426668, -0.8723694631994645, 0.2454535002805375]	1
PSMC5	1	mixed	['A0A140VJS3', 'A0A994J6V8', 'J3QRR3', 'P62195']	[-1.3352851830750891, -2.0006232330404288, -1.5166604723938375]	8
PSMD1	1	mixed	['A0A7I2V491', 'A0A7I2V523', 'B2R6D0', 'Q99460']	[-2.2810279890663123, -1.4074989113373566, -2.1941797390556776]	8
PSMD10	1	mixed	['O75832']	[0.3715318409418884, 0.0065792966343454, 0.6512554697550474]	7
PSMD11	1	mixed	['O00231']	[-2.7918545376035437, -1.8119629090157807, -2.196948926099285]	8
PSMD13	1	mixed	['B2RBM7', 'J3KNQ3', 'Q53GN6', 'Q9UNM6']	[0.2943205797982631, -1.5136449824922762, -0.9391418908892069]	3
PSMD14	1	mixed	['A0A140VKF2', 'O00487']	[-1.2193516822241377, -1.6621210719038184, -2.2905901145972427]	8
PSMD3	1	mixed	['O43242', 'Q6IBN0']	[-2.346077982530094, -1.4280219391649371, -2.1791216630475203]	8
PSMD4	1	mixed	['P55036', 'Q5VWC4']	[-1.1342712654228833, -1.5808040602959288, 0.0759584490760147]	5
PSMD5	1	mixed	['A8K4T6', 'Q16401']	[-0.6769806248516874, -0.4174748348748196, 0.54083462641451]	0
PSMD6	1	mixed	['B3KT66', 'Q15008']	[-0.857202684082573, -1.9545165170424423, -1.9818400423491576]	8
PSMD7	1	mixed	['B2RD27', 'P51665']	[-1.7399472955863189, -1.6306087288617934, -2.235783999445739]	8
PSMD8	1	mixed	['A0A8V8TQ44', 'P48556', 'V9HW09']	[-2.5766703367396717, -1.343847047512456, -2.2255060795209545]	8
PSMD9	1	mixed	['J3KN29', 'O00233']	[-0.0197117829238109, 0.0244641648696502, 0.9875918474842236]	7
RAB1A	1	mixed	['B7Z8M7', 'P62820', 'Q5U0I6', 'Q6FIG4']	[0.50519971738754, -0.0159044522815329, 0.9253332062263464]	7
RAB34	1	mixed	['A0A1C7CYW6', 'B4DNC0', 'C9JY26', 'E7ES60', 'J3QLC6', 'P0DI83', 'Q6NXT3', 'Q9BZG1']	[-0.4390109185230677, -0.0591811607248604, 0.7530335155750868]	0
RAB7A	1	mixed	['A0A158RFU6', 'B4DPH9', 'P51149']	[-0.494214699853431, -0.6383393563500521, -0.2166295848631507]	4
RABGEF1	1	mixed	['A8K3R3', 'B3KMF1', 'E9PFK9', 'Q3HKR1', 'Q9UJ41']	[-0.4187548353389563, -0.4817396698428743, 0.0487105679655905]	4
RAC1	1	mixed	['A4D2P0', 'A4D2P1', 'B1AH80', 'P63000']	[-0.8498685979331457, -1.799242796878358, 0.1325654638526747]	5
RAD50	1	mixed	['A0A1W2PQ90', 'Q92878']	[0.5559741349153486, 0.2486683733154471, 0.4488686449188654]	2
RBX1	1	mixed	['P62877']	[0.8816606525868793, -0.4920844413157833, -0.667096714134027]	3
RHOA	1	mixed	['A0A024R324', 'A0A0B6XK12', 'A0A7I2YQV1', 'B4DKN9', 'C9JRM1', 'C9JX21', 'P61586', 'Q5JR08', 'Q9BVT0']	[0.4571699740037929, 0.2855077156550454, -0.500678861464909]	3
RIPK3	1	mixed	['Q9Y572']	[-0.3743114428768787, -0.6053219976350132, 0.4904080421288788]	0
RPA2	1	mixed	['B2R7E8', 'B4DUL2', 'P15927']	[1.067191437965216, -0.5093436115446115, -0.9888435050950396]	3
RPS6KA3	1	mixed	['A0A384MDW3', 'B1AXG1', 'B4DG22', 'B4DKZ2', 'B7ZB17', 'P51812']	[0.887065269662703, -0.1657453866049544, 0.3612214218596993]	2
SNX3	1	mixed	['O60493']	[0.4272062281316525, -0.022923858451797, 0.0008308148515956]	1
SRC	1	mixed	['P12931']	[-0.6003528147728976, -0.452587295872111, 0.1327798742055337]	4
STAT2	1	mixed	['A0A494C164', 'A0A8V8TLJ4', 'A0JLQ9', 'B4DLC8', 'P52630', 'Q6N0A7', 'R9QDW3', 'R9QDW5', 'R9QDY3', 'R9QE44', 'R9QE53', 'R9QE65', 'R9QE71', 'R9QFA6', 'R9QGC0']	[0.0439260226150785, -0.8888137888615474, 0.257697040802488]	1
TFAP2B	1	mixed	['B2R9E2', 'Q92481']	[0.0711598350224612, -0.4140624942660008, 0.4161777153016248]	1
TFAP2C	1	mixed	['B2RAN6', 'Q92754']	[0.7951223779488813, 0.4229865414043117, 0.2682240994730956]	2
TFAP2D	1	mixed	['Q7Z6R9']	[-0.9126997793623626, -1.415448641114038, -0.2494644407850492]	5
TFAP2E	1	mixed	['Q6VUC0']	[0.4562589580597299, -0.6208942293339681, 0.8176648886709403]	7
TICAM1	1	mixed	['Q8IUC6']	[-0.62580785883633, -0.7695201727496712, 0.4928583978333885]	0
TM9SF2	1	mixed	['A0A024QYR8', 'B3KSG9', 'Q99805']	[-1.46579517394885, -1.675242489213106, 0.2762920462830158]	5
TNF	1	mixed	['A0A1U9X8M9', 'A0A977WMN2', 'C1K3N5', 'P01375', 'Q5STB3']	[-0.2974514377903483, -0.0912972277439584, 0.5780475097165978]	0
TOPBP1	1	mixed	['A0A2R8YD63', 'A0AV47', 'A7E2X7', 'Q92547']	[0.0632817157784045, -0.0251515313328728, 0.4575479745001564]	6
TSG101	1	mixed	['F5H442', 'Q99816']	[-0.676964853132437, -0.6732719188573657, 0.464021098785949]	0
UBA1	1	mixed	['A0A024R1A3', 'P22314']	[-0.6206353830129325, -0.7865077125059265, -0.1089296797638894]	4
UBE2D1	1	mixed	['A0A087WW00', 'P51668']	[-0.6538320615217397, -0.8376680746509451, 0.3231103351894278]	5
VEGFA	1	mixed	['A0A0A0MR43', 'A0A0A0MRQ4', 'A0A0A0MSH7', 'A0A0A0MSI7', 'A0A0A0MTB2', 'A0A0Y0IMM4', 'A0A0Y0J542', 'A2A2V4', 'H0YBZ0', 'H3BLW8', 'J3KPA4', 'P15692']	[-0.3763775726806068, -0.8634988282031543, 0.0125548943536011]	4
VIM	1	mixed	['P08670', 'Q53HU8', 'V9HWE1']	[-0.5768807623224835, -0.4588745460746276, -0.6861181677748255]	4
VIPAS39	1	mixed	['Q53H75', 'Q6IA61', 'Q9H9C1']	[-0.5961741913680094, -0.6858907811007399, 0.5977997726198658]	0
VPS26A	1	mixed	['A8K3C1', 'B4DLT1', 'O75436', 'S4R3Q6']	[-0.2975495194644445, -0.7327338548946156, 1.0534963991061694]	0
VPS26B	1	mixed	['Q4G0F5']	[0.3160832189171275, 0.3389384088187351, 0.6818048426767258]	6
VPS33B	1	mixed	['A0A0S2Z577', 'B7Z1N4', 'B7Z6M7', 'F5H008', 'Q9H267']	[-0.9418399584986916, -0.6403921637072298, 0.3643891978885654]	5
VPS4B	1	mixed	['A8K4G7', 'O75351']	[-0.2078418022704177, -0.8503023003145924, 0.4268656693291244]	0
WASHC2C	1	mixed	['A8K5W5', 'B4DHJ2', 'F8W7U3', 'J3KP36', 'Q9Y4E1']	[0.6747678091475187, -0.048165689045698, 1.0845006491053684]	7
WASL	1	mixed	['A8K180', 'O00401']	[-0.2481647518037958, -0.2601912438198426, 0.3526536436209818]	0
XRCC5	1	mixed	['P13010']	[0.5592239403679504, -0.0992603523378239, 0.9472985610844956]	7
XRCC6	1	mixed	['B1AHC9', 'B2RDN9', 'B4DE32', 'P12956']	[0.0969251588615543, -0.134928852533518, 0.602342442124513]	7
DNASE2	0	unlabeled	['B3KQS9', 'O00115']	[-0.3798808323057628, -0.2079946140982188, 0.357732133360553]	0
PCDHB1	0	unlabeled	['Q9Y5F3']	[-0.5201644193431779, 0.0236164875341122, 0.5866495765878934]	0
RHBDD3	0	unlabeled	['Q9Y3P4']	[-0.1769750222316936, -0.8376759521367787, 0.3282016853829688]	0
FAM234B	0	unlabeled	['A2RU67']	[-0.7065435851497754, -0.6138961361778551, 0.7229415003781096]	0
PDYN	0	unlabeled	['P01213', 'Q2YEL0']	[-0.3062990443659129, -0.1126344708981558, 0.6174223161352232]	0
SYNE2	0	unlabeled	['A0A0C4DGK3', 'G3V5X4', 'Q6MZP0', 'Q8WXH0']	[-0.5337268295775095, -0.2477184477103807, 0.760809452814508]	0
RAB33A	0	unlabeled	['Q14088']	[-0.3350078591276341, -0.2019439539753819, 0.4322473476109771]	0
TM2D1	0	unlabeled	['Q9BX74']	[0.0208448560634989, -0.4761368788063688, 0.6534316877553218]	0
MID2	0	unlabeled	['Q6GX22', 'Q9UJV3']	[-0.3078548907268445, -0.297258336927875, 0.4144867544038711]	0
TMEM108	0	unlabeled	['B3KT64', 'E9PB58', 'Q6UXF1']	[-0.5437154642865595, -0.3278859264813609, 0.4666784826119892]	0
FGF9	0	unlabeled	['A0A7U3L6D0', 'P31371']	[-0.3950053799818102, 0.0079055802493319, 0.8762981476319776]	0
MC4R	0	unlabeled	['A0N0W6', 'A0N0W7', 'A0N0W9', 'P32245']	[-0.5256745631219855, -0.2419557408975133, 0.8887880829799033]	0
SPINDOC	0	unlabeled	['Q9BUA3']	[-0.0841501302290435, -0.6187814509774048, 0.959092222827676]	0
C3	0	unlabeled	['A0A8Q3SI05', 'P01024', 'V9HWA9']	[-0.4787290826933366, -0.4793492887491682, 0.9317878093902442]	0
ARHGAP15	0	unlabeled	['Q53QZ3']	[-0.3014261611983377, -0.6207063078315705, 0.3207487649727752]	0
KISS1R	0	unlabeled	['Q969F8']	[-0.5862529316931406, -0.3056713991713896, 0.6247952457153993]	0
