Name	UniProt_IDs	dIntensity_cPathogen_eMean_oVoronoiCells_nZScore	dIntensity_cLatePathogen_eMean_oVoronoiCells_nZScore	eCount_oCells_nZScore
LPAR3	Q9UBY5	0.7724784824455244	-0.24034307290976584	0.593248366770545
LPAR4	Q99677	-0.03483945533966185	-0.017038252248092495	0.6620627068041669
LPAR5	B4DZ78	-1.7742634124691956	-1.083803963281708	-1.0397997197390614
LPAR5	Q5KU18	-1.7742634124691956	-1.083803963281708	-1.0397997197390614
LPAR5	Q9H1C0	-1.7742634124691956	-1.083803963281708	-1.0397997197390614
LPAR6	B3KVQ5	-0.04138651393801544	0.20163881149889074	-0.028467264958292597
LPAR6	P43657	-0.04138651393801544	0.20163881149889074	-0.028467264958292597
LPCAT1	A0A0G2JQ62	0.22882336089904753	-1.0654258840273552	1.047082501507033
LPCAT1	Q8NF37	0.22882336089904753	-1.0654258840273552	1.047082501507033
LPCAT2	Q7L5N7	0.0528024007825717	-0.6505862857432895	0.5599479139439517
LPCAT3	Q6P1A2	-0.5015588163655805	-0.17045413652334504	0.5446820769157243
LPCAT4	B7ZM32	0.42522144605312956	1.2027581492044859	0.39606189513650447
LPCAT4	Q643R3	0.42522144605312956	1.2027581492044859	0.39606189513650447
LPGAT1	Q92604	-0.857801000181586	-0.49658062744103304	1.0465061561133677
LPIN1	Q14693	-0.5530747360098466	-0.5969306314591856	0.17954434334243186
LPIN2	A0A8V8TLW1	0.4026351347834293	0.11146336528940759	0.44789363624778056
LPIN2	Q92539	0.4026351347834293	0.11146336528940759	0.44789363624778056
LPIN3	Q9BQK8	-0.28367748676399424	-0.3441081632125996	0.0593974928478493
LPL	A0A1B1RVA9	0.3173797321020073	-0.06844692294524579	0.2972887487016776
LPL	A8K2M5	0.3173797321020073	-0.06844692294524579	0.2972887487016776
LPL	P06858	0.3173797321020073	-0.06844692294524579	0.2972887487016776
LPL	Q53HW6	0.3173797321020073	-0.06844692294524579	0.2972887487016776
LPO	F5H386	0.5945699498014055	-0.8474419286111295	-0.014419922644994594
LPO	P22079	0.5945699498014055	-0.8474419286111295	-0.014419922644994594
LPP	B7Z871	1.0250895010034853	0.7636100157223182	-0.0846318643699292
LPP	B7Z8W0	1.0250895010034853	0.7636100157223182	-0.0846318643699292
LPP	B7ZLW0	1.0250895010034853	0.7636100157223182	-0.0846318643699292
LPP	C9JUT4	1.0250895010034853	0.7636100157223182	-0.0846318643699292
LPP	Q93052	1.0250895010034853	0.7636100157223182	-0.0846318643699292
LPXN	B7Z5P7	1.0799288684168489	-1.184235765632507	-0.5936543037522939
LPXN	O60711	1.0799288684168489	-1.184235765632507	-0.5936543037522939
LRAT	O95237	-0.6835594729294119	-1.0077110675732843	-0.43692915562330825
LRATD1	B2RB24	0.5369598667478381	0.202882135098693	0.1839935075920724
LRATD1	Q96KN4	0.5369598667478381	0.202882135098693	0.1839935075920724
LRATD2	A8K9V9	-0.8497863119398172	-0.3896044502147553	0.18313051653600532
LRATD2	Q96KN1	-0.8497863119398172	-0.3896044502147553	0.18313051653600532
LRBA	A0A494BZW2	0.4923309646220724	0.04460319763242455	0.7560898856725746
LRBA	A0A494C1L5	0.4923309646220724	0.04460319763242455	0.7560898856725746
LRBA	A0A8V8TKR0	0.4923309646220724	0.04460319763242455	0.7560898856725746
LRBA	A0A8V8TLZ6	0.4923309646220724	0.04460319763242455	0.7560898856725746
LRBA	E9PEM5	0.4923309646220724	0.04460319763242455	0.7560898856725746
LRBA	P50851	0.4923309646220724	0.04460319763242455	0.7560898856725746
LRBA	Q68D03	0.4923309646220724	0.04460319763242455	0.7560898856725746
LRCH1	A8KA33	1.454270434441315	0.5351862534682186	0.6095892916656126
LRCH1	Q9Y2L9	1.454270434441315	0.5351862534682186	0.6095892916656126
LRCH2	Q5VUJ6	0.17757260233168554	-0.2354330022558102	1.029174471057027
LRCH3	B4DEQ7	-0.38717643561486587	-0.2714847706290329	0.5740636393621674
LRCH3	Q96II8	-0.38717643561486587	-0.2714847706290329	0.5740636393621674
LRCH4	B3KQE9	-0.05747079925050874	-0.18844635321371436	0.4559804975694794
LRCH4	B4DYF8	-0.05747079925050874	-0.18844635321371436	0.4559804975694794
LRCH4	H7C5D9	-0.05747079925050874	-0.18844635321371436	0.4559804975694794
LRCH4	O75427	-0.05747079925050874	-0.18844635321371436	0.4559804975694794
LRFN2	A0A8V8TQ63	0.07505541637503954	0.9499137580713003	0.3658153275938531
LRFN2	Q9ULH4	0.07505541637503954	0.9499137580713003	0.3658153275938531
LRFN3	Q9BTN0	1.082806348460569	-0.088156778207692	-1.1465838090208016
