Category,Term,Count,List Total,Pop Hits,Pop Total,P-Value,Benjamini,Fold Enrichment,Bonferroni,FDR,Fisher Exact,Full Term,User Ids,Theme,minus_log10_Benjamini
REACTOME_PATHWAY,Parasite infection,5,213,58,10908,0.026,0.0719,4.41,1.0,0.0486,0.00536,R-HSA-9664407~Parasite infection,"ARPC2,ARPC3,ARPC1A,ACTB,ACTG1",,1.1432711096171173
REACTOME_PATHWAY,FCGR3A-mediated phagocytosis,5,213,58,10908,0.026,0.0719,4.41,1.0,0.0486,0.00536,R-HSA-9664422~FCGR3A-mediated phagocytosis,"ARPC2,ARPC3,ARPC1A,ACTB,ACTG1",,1.1432711096171173
REACTOME_PATHWAY,Leishmania phagocytosis,5,213,58,10908,0.026,0.0719,4.41,1.0,0.0486,0.00536,R-HSA-9664417~Leishmania phagocytosis,"ARPC2,ARPC3,ARPC1A,ACTB,ACTG1",,1.1432711096171173
GOTERM_BP_DIRECT,positive regulation of translation,5,245,75,16251,0.0263,0.323,4.42,1.0,0.309,0.00548,GO:0045727~positive regulation of translation,"PRKDC,MYC,EIF4A3,PYM1,MTOR",,0.4907974776688971
GOTERM_BP_DIRECT,ectopic germ cell programmed cell death,3,245,17,16251,0.0263,0.323,11.71,1.0,0.309,0.00197,GO:0035234~ectopic germ cell programmed cell death,"DDB1,UBE2B,PRKDC",,0.4907974776688971
GOTERM_BP_DIRECT,protein-containing complex localization,3,245,17,16251,0.0263,0.323,11.71,1.0,0.309,0.00197,GO:0031503~protein-containing complex localization,"SNAPIN,SEH1L,RAN",,0.4907974776688971
REACTOME_PATHWAY,Respiratory Syncytial Virus Infection Pathway,7,213,117,10908,0.0265,0.0729,3.06,1.0,0.0493,0.00795,R-HSA-9820952~Respiratory Syncytial Virus Infection Pathway,"PPP1CC,CUL5,MED21,ELOC,RPS27A,UBA52,RBX1",,1.1372724716820253
GOTERM_BP_DIRECT,positive regulation of double-strand break repair via homologous recombination,4,245,43,16251,0.0265,0.323,6.17,1.0,0.309,0.00392,GO:1905168~positive regulation of double-strand break repair via homologous recombination,"KAT5,ACTL6A,RUVBL1,ACTB",,0.4907974776688971
GOTERM_BP_DIRECT,regulation of signal transduction by p53 class mediator,4,245,43,16251,0.0265,0.323,6.17,1.0,0.309,0.00392,GO:1901796~regulation of signal transduction by p53 class mediator,"KAT6A,RPL11,MTOR,AURKA",,0.4907974776688971
GOTERM_BP_DIRECT,regulation of autophagy,5,245,76,16251,0.0274,0.331,4.36,1.0,0.316,0.00579,GO:0010506~regulation of autophagy,"DDB1,KAT5,PIK3R4,MTOR,RBX1",,0.48017200622428124
