"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"REACTOME_PATHWAY","STING mediated induction of host immune responses","3","209","15","10908","3.23e-2","1.81e-1","10.44","1.00e+0","1.55e-1","2.66e-3","R-HSA-1834941~STING mediated induction of host immune responses","MRE11,XRCC5,PRKDC"
"REACTOME_PATHWAY","Resolution of D-Loop Structures","4","209","37","10908","3.30e-2","1.83e-1","5.64","1.00e+0","1.56e-1","5.27e-3","R-HSA-5693537~Resolution of D-Loop Structures","BRIP1,RMI2,MRE11,XRCC3"
"REACTOME_PATHWAY","Regulation of TP53 Expression and Degradation","4","209","37","10908","3.30e-2","1.83e-1","5.64","1.00e+0","1.56e-1","5.27e-3","R-HSA-6806003~Regulation of TP53 Expression and Degradation","PPP2CB,PPP2R1A,AKT1,RICTOR"
"GOTERM_BP_DIRECT","synaptic vesicle lumen acidification","3","248","19","16251","3.32e-2","7.76e-1","10.35","1.00e+0","7.65e-1","2.84e-3","GO:0097401~synaptic vesicle lumen acidification","ATP6V1G2,ATP6V1G3,ATP6V1F"
"GOTERM_BP_DIRECT","SCF-dependent proteasomal ubiquitin-dependent protein catabolic process","5","248","80","16251","3.36e-2","7.76e-1","4.10","1.00e+0","7.65e-1","7.55e-3","GO:0031146~SCF-dependent proteasomal ubiquitin-dependent protein catabolic process","CUL5,CUL2,CUL1,FBXL3,RBX1"
"GOTERM_BP_DIRECT","cellular response to epidermal growth factor stimulus","4","248","47","16251","3.44e-2","7.84e-1","5.58","1.00e+0","7.73e-1","5.65e-3","GO:0071364~cellular response to epidermal growth factor stimulus","MCM7,CFL1,AKT1,BAIAP2"
"REACTOME_PATHWAY","Factors involved in megakaryocyte development and platelet production","8","209","161","10908","3.45e-2","1.90e-1","2.59","1.00e+0","1.62e-1","1.23e-2","R-HSA-983231~Factors involved in megakaryocyte development and platelet production","TUBA1C,KIF9,TUBA1B,CAPZB,KIF3B,CDK5,ACTB,TUBA4A"
"GOTERM_BP_DIRECT","mitotic intra-S DNA damage checkpoint signaling","3","248","20","16251","3.65e-2","7.95e-1","9.83","1.00e+0","7.84e-1","3.30e-3","GO:0031573~mitotic intra-S DNA damage checkpoint signaling","MRE11,RAD9B,RAD9A"
"GOTERM_BP_DIRECT","snRNA processing","3","248","20","16251","3.65e-2","7.95e-1","9.83","1.00e+0","7.84e-1","3.30e-3","GO:0016180~snRNA processing","PPP2R1A,INTS10,INTS7"
"GOTERM_BP_DIRECT","barbed-end actin filament capping","3","248","20","16251","3.65e-2","7.95e-1","9.83","1.00e+0","7.84e-1","3.30e-3","GO:0051016~barbed-end actin filament capping","CAPZB,CAPZA3,TWF2"
"REACTOME_PATHWAY","Meiotic recombination","5","209","66","10908","3.70e-2","2.02e-1","3.95","1.00e+0","1.73e-1","8.54e-3","R-HSA-912446~Meiotic recombination","MRE11,DMC1,RPA1,RPA2,MND1"
"REACTOME_PATHWAY","Cytokine Signaling in Immune system","23","209","771","10908","3.73e-2","2.02e-1","1.56","1.00e+0","1.73e-1","2.26e-2","R-HSA-1280215~Cytokine Signaling in Immune system","EIF4A1,CUL5,PSMD13,CUL1,IL18,UBE2L6,TUBA4A,ACTB,RBX1,PPP2CB,TUBA1C,TUBA1B,PPP2R1A,PRKRA,PSMC2,BOLA2,CFL1,UBE2N,AKT1,LCP1,MAPT,KPNA3,HSPA1A"
"REACTOME_PATHWAY","Programmed Cell Death","9","209","199","10908","3.73e-2","2.02e-1","2.36","1.00e+0","1.73e-1","1.45e-2","R-HSA-5357801~Programmed Cell Death","DFFA,OCLN,TFDP1,PSMD13,PSMC2,IL18,AKT1,MAPT,DYNLL2"
"GOTERM_BP_DIRECT","macroautophagy","5","248","83","16251","3.77e-2","7.99e-1","3.95","1.00e+0","7.88e-1","8.79e-3","GO:0016236~macroautophagy","VPS13C,PGAM5,ATG14,VPS36,SNAP29"
"REACTOME_PATHWAY","Generic Transcription Pathway","32","209","1175","10908","3.82e-2","2.06e-1","1.42","1.00e+0","1.76e-1","2.55e-2","R-HSA-212436~Generic Transcription Pathway","STEAP3,MRE11,ELOF1,PCNA,KMT2A,PSMD13,CUL1,PPP2CB,BRIP1,PPP2R1A,AKT1,POLR2F,RICTOR,NELFA,RMI2,RRM2,RFC2,TXNRD1,RPA1,TSC2,RPA2,MED4,SIRT3,RBX1,OCLN,TFDP1,CDK5,CCNE1,PSMC2,RAD1,RAD9B,RAD9A"
"GOTERM_BP_DIRECT","RNA polymerase II preinitiation complex assembly","4","248","49","16251","3.83e-2","7.99e-1","5.35","1.00e+0","7.88e-1","6.55e-3","GO:0051123~RNA polymerase II preinitiation complex assembly","TAF6L,MED21,GTF2B,MED4"
"GOTERM_BP_DIRECT","protein monoubiquitination","4","248","49","16251","3.83e-2","7.99e-1","5.35","1.00e+0","7.88e-1","6.55e-3","GO:0006513~protein monoubiquitination","UBE2N,CUL1,UBE4B,RBX1"
"REACTOME_PATHWAY","G1/S DNA Damage Checkpoints","5","209","67","10908","3.88e-2","2.08e-1","3.89","1.00e+0","1.77e-1","9.09e-3","R-HSA-69615~G1/S DNA Damage Checkpoints","CCNE1,PSMD13,PSMC2,CUL1,RBX1"
"GOTERM_BP_DIRECT","G1/S transition of mitotic cell cycle","5","248","84","16251","3.91e-2","8.05e-1","3.90","1.00e+0","7.93e-1","9.23e-3","GO:0000082~G1/S transition of mitotic cell cycle","CUL5,CCNE1,CUL2,CUL1,RBX1"
"REACTOME_PATHWAY","Apoptosis","8","209","166","10908","3.97e-2","2.11e-1","2.52","1.00e+0","1.81e-1","1.45e-2","R-HSA-109581~Apoptosis","DFFA,OCLN,TFDP1,PSMD13,PSMC2,AKT1,MAPT,DYNLL2"
