"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"REACTOME_PATHWAY","Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation","5","184","38","10908","3.62e-3","1.67e-1","7.80","9.75e-1","1.63e-1","4.13e-4","R-HSA-8950505~Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation","ARF3,RALA,CAPZA1,LCP1,LMNB1"
"REACTOME_PATHWAY","Membrane Trafficking","21","184","627","10908","4.22e-3","1.80e-1","1.99","9.86e-1","1.76e-1","2.02e-3","R-HSA-199991~Membrane Trafficking","ARF3,DYNC1H1,COPA,RALA,GDI1,COG5,COG3,STON1,TSC2,TSC1,SLC2A4,BICD1,EGFR,ARFGAP2,DNM2,GGA2,CTTN,CAPZA1,CHMP4C,KIF2C,YWHAG"
"REACTOME_PATHWAY","Dengue Virus Infection","15","184","375","10908","4.27e-3","1.80e-1","2.37","9.87e-1","1.76e-1","1.70e-3","R-HSA-9839923~Dengue Virus Infection","PDIA3,EIF4A2,BECN1,EIF4A1,RPN2,NCBP1,NCBP2,CPSF3,DDX42,HDLBP,HNRNPD,PIK3C3,RICTOR,CTNNBL1,HSPA1A"
"GOTERM_BP_DIRECT","signal transduction","33","243","1325","16251","4.47e-3","9.73e-1","1.67","9.99e-1","9.73e-1","2.58e-3","GO:0007165~signal transduction","CD274,VAC14,RALA,CALCOCO1,CDKN1B,GDI1,EPAS1,SECTM1,PITPNC1,EGFR,BABAM2,COMMD8,KLRK1,ERBB4,SUFU,MADCAM1,STAT6,RSU1,APPL2,YWHAG,SH2B1,DAPK1,TXNRD1,PLCL1,RHOH,DNM2,CTTN,TOLLIP,RAPGEF1,STUB1,RLN1,IL18R1,CSNK1G2"
"REACTOME_PATHWAY","Resolution of Sister Chromatid Cohesion","8","184","123","10908","4.63e-3","1.88e-1","3.86","9.91e-1","1.83e-1","1.11e-3","R-HSA-2500257~Resolution of Sister Chromatid Cohesion","DYNC1H1,ERCC6L,ZWILCH,MIS12,KIF2C,CENPO,SKA1,SKA2"
"REACTOME_PATHWAY","DNA Double-Strand Break Repair","9","184","157","10908","4.94e-3","1.93e-1","3.40","9.93e-1","1.88e-1","1.35e-3","R-HSA-5693532~DNA Double-Strand Break Repair","BABAM2,RFC4,MRE11,RIF1,SUMO2,RAD1,LIG3,RAD9B,NHEJ1"
"GOTERM_BP_DIRECT","ubiquitin-dependent protein catabolic process","11","243","255","16251","5.00e-3","9.73e-1","2.88","1.00e+0","9.73e-1","1.63e-3","GO:0006511~ubiquitin-dependent protein catabolic process","UBE2H,CDC34,TOLLIP,CUL2,CUL1,DERL2,STUB1,UBE2L6,UBE2G1,SKP2,EGFR"
"REACTOME_PATHWAY","Anchoring of the basal body to the plasma membrane","7","184","95","10908","5.20e-3","1.96e-1","4.37","9.95e-1","1.91e-1","1.10e-3","R-HSA-5620912~Anchoring of the basal body to the plasma membrane","NEDD1,DYNC1H1,HAUS8,MKS1,RPGRIP1L,YWHAG,HAUS1"
"REACTOME_PATHWAY","Disease","49","184","2013","10908","5.52e-3","2.00e-1","1.44","9.96e-1","1.95e-1","3.70e-3","R-HSA-1643685~Disease","EIF4A2,ARF3,EIF4A1,CDKN1B,MRE11,ELL,WIPF1,DDX42,HDLBP,PEBP1,UBE2L6,LMNB1,GYS2,FNTA,SKP2,CTNNBL1,YWHAG,PDIA3,RFC4,NCBP1,NCBP2,FGG,TSC2,TGFBR2,CHMP4C,PIK3C3,RPL28,BECN1,RPN2,CUL1,DERL2,EGFR,ERBB4,PRKAR2A,RICTOR,SHOC2,H2AZ1,DYNC1H1,BDNF,TXNRD1,CPSF3,FN1,ERLIN2,HNRNPD,TCEA1,RAD1,RAD9B,RIGI,HSPA1A"
"REACTOME_PATHWAY","Antimicrobial mechanism of IFN-stimulated genes","9","184","161","10908","5.73e-3","2.01e-1","3.31","9.97e-1","1.95e-1","1.61e-3","R-HSA-1169410~Antimicrobial mechanism of IFN-stimulated genes","EIF4A2,EIF4A1,BECN1,FNTA,PRKRA,FAAP24,UBE2L6,RIGI,HSPA1A"
