Name	unrefined_intensity	refined_intensity
ADRB3	0.0076086152399607	0.0002151488131403687
ADRM1	-0.2998488608491136	-0.050099347368391604
ADSL	-1.0307194488123383	-0.006113197050905978
ADSS1	-0.7017376730229758	-0.0018911830287969198
ADSS2	-0.1824687160860049	-0.0005287943392172422
ADTRP	-1.957589272084454	-0.003733122741865054
AEBP1	-1.3597027842679383	-0.03964621378368455
AEBP2	1.9476941777934924	0.0852077248901097
AEN	-0.1678239017632	-9.71700391208928e-05
AFAP1	0.5521804259239943	0.013828806586840513
AFAP1L1	-0.9735643965620036	-0.01214716297590412
AFAP1L2	0.1321684252152564	0.0024400934663240635
AFDN	0.2237056950634469	0.006730633247373927
AFF1	-0.5486975763953446	-0.011954474096925372
AFF2	-0.1065565729910754	-0.003182525165524449
AFF3	0.1669931578934368	0.001752927178407406
AFF4	-0.2568242559529822	-0.004606913503284594
AFG1L	-0.2802887589787471	-0.009684256911474691
AFG2A	0.1512849563403934	0.012234414419247615
AFG2B	1.4958597070912727	0.15413488007839182
AFG3L2	0.0803924539863561	0.0034607343592046574
AFM	-0.6874692544029831	-0.0008895852151974601
AFMID	-0.4247011831744314	-0.0006710278694156016
AFP	-0.9313494108637456	-0.0031935971298517837
AFTPH	-0.1515152549885141	-0.004480003059500384
AGA	-1.1468511657549616	-0.0007913273043709234
AGAP1	-0.7248562788537233	-0.015913494745954642
AGAP2	-0.1219295882417127	-0.0011921055842392249
AGAP3	-0.7188541460822335	-0.011854623723042112
AGAP4	-0.6507000949271504	-0.0005068953739482501
AGAP6	0.2156093567920957	0.00013949925384448592
AGBL1	-0.0098502578996431	-0.0002143514621541335
AGBL2	-0.6287970543786623	-0.0021831833728027153
AGBL3	-1.4816242051495194	-0.0015305178039194537
AGBL4	-0.3188807061907478	-0.0003813813246041344
AGBL5	-0.3293104429289986	-0.00019824488664325714
AGER	0.535218443043705	0.021583754152623494
AGFG1	-0.2349086377676031	-0.02469054218983946
AGFG2	-0.3954190800730366	-0.03022741615710321
AGGF1	-0.4422044758410917	-0.00024321246171260045
AGK	-0.2295841463088853	-0.012554579456755085
AGL	-0.1606345819884586	-0.0006047892011865466
AGMAT	-0.1129920004496359	-0.003262192044981438
AGMO	0.1812677687874055	0.0007868833843061273
AGO1	0.3495679874916225	0.019344393291811406
AGO2	-0.5323217411024767	-0.03323071701006321
AGO3	-0.2517146011168811	-0.0193485462440513
AGO4	-1.4939922136678718	-0.1265008027078997
AGPAT1	0.5342436497263772	0.0023180831961627504
AGPAT2	0.1495723564136556	0.0029482207172695655
AGPAT3	-0.9888892834561442	-0.12933781827251256
AGPAT4	-0.0218945716432803	-0.0007795343287873516
AGPAT5	0.4245181027054255	0.011773585060432272
AGPS	0.6708156162627611	0.0025490993417984923
AGR2	-0.0528694889642308	-0.0006379232538424089
AGR3	-0.0449603919941542	-0.00014967314494853932
AGRN	-0.4149680540265045	-0.013493516212779846
AGRP	-0.003343248515374	-0.00010265110241604329
AGT	-0.5951591364560498	-0.015960977721478344
AGTPBP1	-0.2713462007967172	-0.008488251853322906
AGTR1	-0.2498895388831986	-0.010366917410108378
AGTR2	-0.0779685677434608	-0.0022987472827804547
AGTRAP	-0.4917000322384733	-0.02237087636675382
AGXT	-0.1407543701665836	-0.0004922180324725429
AGXT2	-1.4142114214089625	-0.006049996460787541
AHCTF1	-0.3605706933568435	-0.08026664204816693
AHCY	0.2212962808773351	0.002019328563005683
AHCYL1	-0.5130983890637697	-0.03819042619640544
AHCYL2	-0.6307460428313487	-0.1460189704075429
AHDC1	-0.675669557647901	-0.04615566315248577
AHI1	0.237582687290107	0.000630544452067944
AHNAK	-0.7673115150017928	-0.012027607997653103
AHR	0.0086186788098244	0.00026945437431035005
AHRR	-1.052036649371524	-0.030010397459972096
AHSA1	-0.2986947632835578	-0.03182114791165055
AHSG	0.328342193218988	0.0017310200426505047
AHSP	-0.3630349444839954	-0.00869541299028066
AICDA	-0.3540652457177076	-0.022468980493245725
AIDA	-1.0111924131429053	-0.006876108409371756
