"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"REACTOME_PATHWAY","Metabolism of RNA","66","175","714","10908","4.07e-33","1.75e-31","5.76","3.85e-30","1.38e-31","6.53e-34","R-HSA-8953854~Metabolism of RNA","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,PSMD6,RPS16,PSMD7,SNRPD2,PSMD2,KHSRP,RPL38,RPS10,RPS12,IK,UTP11,IMP3,RPL23,RPS5,CDC40,PSMA6,PSMA3,PSMA1,RPL37A,RPL24,SRSF3,RPL27,PPIH,RPL26,SNRPF,SNRPC,UBA52,SF3B5,SF3B3,PSMD11,PSMD14,SF3B6,SNU13,PRPF8,PSMB6,NXF1,PSMB1,RPS3,RPL14,RPL13,RPS27A,RPL18,RAE1,RPL17,RPL19,GPKOW,RPL35A,LSM2,PSMC5,LSM6,PSMC6,MFAP1,RPS29,APOBEC3A"
"REACTOME_PATHWAY","Influenza Viral RNA Transcription and Replication","34","175","121","10908","3.20e-32","1.32e-30","17.51","3.03e-29","1.03e-30","1.35e-33","R-HSA-168273~Influenza Viral RNA Transcription and Replication","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,IPO5,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RAE1,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,RPS29,RPL37A,RPL24,RPL27,RPL26,UBA52"
"REACTOME_PATHWAY","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","32","175","101","10908","4.44e-32","1.68e-30","19.75","4.20e-29","1.32e-30","1.58e-33","R-HSA-975957~Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,RPS29,RPL37A,RPL24,RPL27,RPL26,UBA52"
"REACTOME_PATHWAY","Nonsense-Mediated Decay (NMD)","32","175","101","10908","4.44e-32","1.68e-30","19.75","4.20e-29","1.32e-30","1.58e-33","R-HSA-927802~Nonsense-Mediated Decay (NMD)","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,RPS29,RPL37A,RPL24,RPL27,RPL26,UBA52"
"REACTOME_PATHWAY","Influenza Infection","35","175","142","10908","4.42e-31","1.61e-29","15.36","4.18e-28","1.26e-29","2.22e-32","R-HSA-168255~Influenza Infection","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,IPO5,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,KPNA2,RAE1,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,RPS29,RPL37A,RPL24,RPL27,RPL26,UBA52"
"REACTOME_PATHWAY","Metabolism of amino acids and derivatives","47","175","345","10908","3.99e-30","1.40e-28","8.49","3.77e-27","1.10e-28","4.13e-31","R-HSA-71291~Metabolism of amino acids and derivatives","RPL4,RPL5,RPL30,PSMD11,RPL3,PSMD14,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,PSMB6,RPS14,RPL7A,PSMD6,RPS16,PSMD7,PSMD2,PSMB1,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,PSMA6,PSMC5,PSMA3,PSMC6,PSMA1,RPS29,RPL37A,RPL24,RPL27,ALDH18A1,RPL26,SCLY,UBA52,SERINC2"
"REACTOME_PATHWAY","Major pathway of rRNA processing in the nucleolus and cytosol","35","175","166","10908","1.28e-28","4.32e-27","13.14","1.21e-25","3.39e-27","7.85e-30","R-HSA-6791226~Major pathway of rRNA processing in the nucleolus and cytosol","RPL4,RPL5,RPL30,RPL3,RPLP0,SNU13,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,UTP11,IMP3,RPL23,RPS5,RPL35A,RPS29,RPL37A,RPL24,RPL27,RPL26,UBA52"
"REACTOME_PATHWAY","Cellular response to starvation","33","175","140","10908","1.43e-28","4.68e-27","14.69","1.36e-25","3.67e-27","7.65e-30","R-HSA-9711097~Cellular response to starvation","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,EIF2S2,RPS29,RPL37A,RPL24,RPL27,RPL26,UBA52"
"REACTOME_PATHWAY","rRNA processing in the nucleus and cytosol","35","175","176","10908","1.02e-27","3.22e-26","12.40","9.66e-25","2.53e-26","6.75e-29","R-HSA-8868773~rRNA processing in the nucleus and cytosol","RPL4,RPL5,RPL30,RPL3,RPLP0,SNU13,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,UTP11,IMP3,RPL23,RPS5,RPL35A,RPS29,RPL37A,RPL24,RPL27,RPL26,UBA52"
"GOTERM_BP_DIRECT","negative regulation of myoblast fusion","21","236","40","16251","7.43e-27","4.92e-24","36.15","9.85e-24","4.85e-24","1.04e-28","GO:1901740~negative regulation of myoblast fusion","RPL4,RPL5,RPL30,RPL23,RPLP0,RPL35A,RPL10A,RPL9,RPL6,RPL7,RPL7A,RPL37A,RPL14,RPL24,RPL13,RPL27,RPL38,RPL18,UBA52,RPL17,RPL19"
