"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"REACTOME_PATHWAY","Formation of the Early Elongation Complex","6","178","33","10908","1.75e-4","7.96e-3","11.14","1.54e-1","7.51e-3","1.33e-5","R-HSA-113418~Formation of the Early Elongation Complex","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,SUPT5H"
"REACTOME_PATHWAY","Signaling by FGFR2 IIIa TM","5","178","19","10908","2.15e-4","9.35e-3","16.13","1.86e-1","8.81e-3","1.06e-5","R-HSA-8851708~Signaling by FGFR2 IIIa TM","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H"
"REACTOME_PATHWAY","Infectious disease","37","178","1223","10908","2.65e-4","1.10e-2","1.85","2.24e-1","1.04e-2","1.38e-4","R-HSA-5663205~Infectious disease","DDX3Y,APP,EIF4A1,GTF2B,GNAI3,CXCR4,HNRNPU,PRKX,YBX1,TUBA1C,PPP1CC,FCGR3A,POLR2B,POLR2C,POLR2E,POLR2F,ARIH1,POLR2H,VPS36,PARP6,H2BC8,CPSF1,TAF12,ATG14,MED4,MED27,SUPT5H,H2BC17,GATAD2A,MED28,MED22,PACS1,LCK,TAL1,PSMC2,H4C12,HSPA1A"
"REACTOME_PATHWAY","RNA Polymerase II Pre-transcription Events","8","178","80","10908","3.08e-4","1.23e-2","6.13","2.56e-1","1.16e-2","4.58e-5","R-HSA-674695~RNA Polymerase II Pre-transcription Events","TAF12,POLR2B,POLR2C,GTF2B,POLR2E,POLR2F,POLR2H,SUPT5H"
"REACTOME_PATHWAY","Dengue Virus-Host Interactions","14","178","267","10908","4.06e-4","1.56e-2","3.21","3.22e-1","1.47e-2","1.19e-4","R-HSA-9918481~Dengue Virus-Host Interactions","DDX3Y,H2BC8,CPSF1,HNRNPU,YBX1,ATG14,H2BC17,TAL1,POLR2B,POLR2C,H4C12,POLR2E,POLR2F,POLR2H"
"REACTOME_PATHWAY","Gene Silencing by RNA","8","178","87","10908","5.16e-4","1.90e-2","5.64","3.90e-1","1.79e-2","8.37e-5","R-HSA-211000~Gene Silencing by RNA","H2BC8,POLR2B,POLR2C,H4C12,POLR2E,POLR2F,POLR2H,H2BC17"
"REACTOME_PATHWAY","MicroRNA (miRNA) biogenesis","5","178","24","10908","5.52e-4","1.96e-2","12.77","4.11e-1","1.85e-2","3.61e-5","R-HSA-203927~MicroRNA (miRNA) biogenesis","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H"
"REACTOME_PATHWAY","HIV Transcription Elongation","6","178","43","10908","6.21e-4","1.98e-2","8.55","4.48e-1","1.87e-2","6.41e-5","R-HSA-167169~HIV Transcription Elongation","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,SUPT5H"
"REACTOME_PATHWAY","Formation of HIV-1 elongation complex containing HIV-1 Tat","6","178","43","10908","6.21e-4","1.98e-2","8.55","4.48e-1","1.87e-2","6.41e-5","R-HSA-167200~Formation of HIV-1 elongation complex containing HIV-1 Tat","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,SUPT5H"
"REACTOME_PATHWAY","Tat-mediated elongation of the HIV-1 transcript","6","178","43","10908","6.21e-4","1.98e-2","8.55","4.48e-1","1.87e-2","6.41e-5","R-HSA-167246~Tat-mediated elongation of the HIV-1 transcript","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,SUPT5H"
"GOTERM_BP_DIRECT","RNA polymerase II preinitiation complex assembly","6","240","49","16251","7.42e-4","4.20e-1","8.29","7.16e-1","4.20e-1","8.01e-5","GO:0051123~RNA polymerase II preinitiation complex assembly","MED22,TAF12,GTF2B,MED27,MED4,MED28"
"REACTOME_PATHWAY","FGFR2 alternative splicing","5","178","26","10908","7.58e-4","2.30e-2","11.78","5.16e-1","2.17e-2","5.45e-5","R-HSA-6803529~FGFR2 alternative splicing","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H"
"REACTOME_PATHWAY","Formation of HIV elongation complex in the absence of HIV Tat","6","178","45","10908","7.68e-4","2.30e-2","8.17","5.21e-1","2.17e-2","8.33e-5","R-HSA-167152~Formation of HIV elongation complex in the absence of HIV Tat","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,SUPT5H"
"REACTOME_PATHWAY","HIV Infection","12","178","217","10908","8.13e-4","2.31e-2","3.39","5.41e-1","2.18e-2","2.25e-4","R-HSA-162906~HIV Infection","TAF12,POLR2B,PACS1,LCK,POLR2C,GTF2B,PSMC2,POLR2E,POLR2F,CXCR4,POLR2H,SUPT5H"
"REACTOME_PATHWAY","Chromosome Maintenance","9","178","122","10908","8.20e-4","2.31e-2","4.52","5.44e-1","2.18e-2","1.68e-4","R-HSA-73886~Chromosome Maintenance","H2BC8,POLR2B,POLR2C,H4C12,POLR2E,POLR2F,RSF1,POLR2H,H2BC17"
"REACTOME_PATHWAY","Telomere Maintenance","8","178","95","10908","8.75e-4","2.40e-2","5.16","5.67e-1","2.26e-2","1.56e-4","R-HSA-157579~Telomere Maintenance","H2BC8,POLR2B,POLR2C,H4C12,POLR2E,POLR2F,POLR2H,H2BC17"
"REACTOME_PATHWAY","Estrogen-dependent gene expression","9","178","127","10908","1.07e-3","2.80e-2","4.34","6.40e-1","2.64e-2","2.28e-4","R-HSA-9018519~Estrogen-dependent gene expression","H2BC8,CCND1,POLR2B,POLR2C,H4C12,POLR2E,POLR2F,POLR2H,H2BC17"
"REACTOME_PATHWAY","RNA polymerase II transcribes snRNA genes","7","178","72","10908","1.08e-3","2.80e-2","5.96","6.44e-1","2.64e-2","1.65e-4","R-HSA-6807505~RNA polymerase II transcribes snRNA genes","POLR2B,POLR2C,GTF2B,POLR2E,POLR2F,POLR2H,SUPT5H"
"REACTOME_PATHWAY","Dengue Virus Infection","16","178","375","10908","1.15e-3","2.85e-2","2.61","6.68e-1","2.68e-2","4.18e-4","R-HSA-9839923~Dengue Virus Infection","DDX3Y,EIF4A1,H2BC8,CPSF1,HNRNPU,YBX1,ATG14,H2BC17,TAL1,POLR2B,POLR2C,H4C12,POLR2E,POLR2F,POLR2H,HSPA1A"
"REACTOME_PATHWAY","PIWI-interacting RNA (piRNA) biogenesis","5","178","29","10908","1.16e-3","2.85e-2","10.57","6.70e-1","2.68e-2","9.45e-5","R-HSA-5601884~PIWI-interacting RNA (piRNA) biogenesis","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H"
"REACTOME_PATHWAY","mRNA Splicing - Minor Pathway","6","178","50","10908","1.25e-3","2.87e-2","7.35","6.97e-1","2.70e-2","1.52e-4","R-HSA-72165~mRNA Splicing - Minor Pathway","POLR2B,POLR2C,POLR2E,POLR2F,YBX1,POLR2H"
"REACTOME_PATHWAY","Activation of HOX genes during differentiation","8","178","101","10908","1.26e-3","2.87e-2","4.85","7.00e-1","2.70e-2","2.39e-4","R-HSA-5619507~Activation of HOX genes during differentiation","H2BC8,POLR2B,POLR2C,H4C12,POLR2E,POLR2F,POLR2H,H2BC17"
"REACTOME_PATHWAY","Activation of anterior HOX genes in hindbrain development during early embryogenesis","8","178","101","10908","1.26e-3","2.87e-2","4.85","7.00e-1","2.70e-2","2.39e-4","R-HSA-5617472~Activation of anterior HOX genes in hindbrain development during early embryogenesis","H2BC8,POLR2B,POLR2C,H4C12,POLR2E,POLR2F,POLR2H,H2BC17"
"REACTOME_PATHWAY","Disease","50","178","2013","10908","1.56e-3","3.48e-2","1.52","7.76e-1","3.28e-2","9.94e-4","R-HSA-1643685~Disease","DDX3Y,EIF4A1,APP,B4GALT1,GTF2B,ITGB3,HNRNPU,YBX1,LMNB1,TUBA1C,PPP1CC,FCGR3A,CCND1,ARIH1,VPS36,ADAMTS7,PARP6,MED4,ATG14,MED27,H2BC17,CDC25A,MED28,MED22,TFDP1,PACS1,LCK,TAL1,H4C12,GNAI3,CXCR4,PRKX,HDAC8,POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,H2BC8,CPSF1,TAF12,CDKN2A,F12,F11,SUPT5H,GATAD2A,PSMC2,PIK3AP1,MUC20,HSPA1A"
"REACTOME_PATHWAY","Diseases of programmed cell death","7","178","80","10908","1.87e-3","3.98e-2","5.36","8.33e-1","3.75e-2","3.19e-4","R-HSA-9645723~Diseases of programmed cell death","APP,H2BC8,CDKN2A,H4C12,H2BC17,CDC25A,LMNB1"
"REACTOME_PATHWAY","FGFR2 mutant receptor activation","5","178","33","10908","1.90e-3","3.98e-2","9.28","8.38e-1","3.75e-2","1.79e-4","R-HSA-1839126~FGFR2 mutant receptor activation","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H"
"REACTOME_PATHWAY","Cell Cycle, Mitotic","19","178","519","10908","1.91e-3","3.98e-2","2.24","8.40e-1","3.75e-2","8.10e-4","R-HSA-69278~Cell Cycle, Mitotic","RRM2,H2BC8,CDKN2A,CDCA5,HDAC8,CDK11B,H2BC17,CDC25A,LMNB1,SKA2,NEDD1,TUBA1C,PPP1CC,TFDP1,ESPL1,CCND1,PSMC2,H4C12,KIF20A"
"GOTERM_BP_DIRECT","positive regulation of transcription initiation by RNA polymerase II","6","240","61","16251","2.01e-3","8.52e-1","6.66","9.67e-1","8.52e-1","2.74e-4","GO:0060261~positive regulation of transcription initiation by RNA polymerase II","MED22,TAF12,KAT8,MED27,MED4,MED28"
"REACTOME_PATHWAY","Formation of RNA Pol II elongation complex","6","178","58","10908","2.43e-3","4.85e-2","6.34","9.03e-1","4.57e-2","3.48e-4","R-HSA-112382~Formation of RNA Pol II elongation complex","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,SUPT5H"
"REACTOME_PATHWAY","RNA Polymerase II Transcription Elongation","6","178","58","10908","2.43e-3","4.85e-2","6.34","9.03e-1","4.57e-2","3.48e-4","R-HSA-75955~RNA Polymerase II Transcription Elongation","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,SUPT5H"
"REACTOME_PATHWAY","Positive epigenetic regulation of rRNA expression","7","178","85","10908","2.54e-3","4.97e-2","5.05","9.13e-1","4.69e-2","4.63e-4","R-HSA-5250913~Positive epigenetic regulation of rRNA expression","H2BC8,H4C12,POLR2E,POLR2F,POLR2H,H2BC17,GATAD2A"
"REACTOME_PATHWAY","HIV Life Cycle","9","178","147","10908","2.70e-3","5.17e-2","3.75","9.25e-1","4.87e-2","6.70e-4","R-HSA-162587~HIV Life Cycle","TAF12,POLR2B,POLR2C,GTF2B,POLR2E,POLR2F,CXCR4,POLR2H,SUPT5H"
"REACTOME_PATHWAY","Pre-NOTCH Expression and Processing","7","178","88","10908","3.03e-3","5.69e-2","4.87","9.45e-1","5.36e-2","5.72e-4","R-HSA-1912422~Pre-NOTCH Expression and Processing","H2BC8,TFDP1,B4GALT1,CCND1,POFUT1,H4C12,H2BC17"
"REACTOME_PATHWAY","TP53 Regulates Transcription of DNA Repair Genes","6","178","62","10908","3.26e-3","6.01e-2","5.93","9.56e-1","5.66e-2","5.00e-4","R-HSA-6796648~TP53 Regulates Transcription of DNA Repair Genes","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,SUPT5H"
"GOTERM_BP_DIRECT","transcription by RNA polymerase II","11","240","244","16251","3.35e-3","9.71e-1","3.05","9.97e-1","9.71e-1","1.03e-3","GO:0006366~transcription by RNA polymerase II","TFDP1,TAF12,TAL1,AIRE,POLR2B,POLR2C,GTF2B,POLR2E,POLR2F,POLR2H,MED4"
"REACTOME_PATHWAY","RNA Polymerase I Promoter Clearance","7","178","90","10908","3.39e-3","6.12e-2","4.77","9.61e-1","5.77e-2","6.55e-4","R-HSA-73854~RNA Polymerase I Promoter Clearance","H2BC8,H4C12,POLR2E,POLR2F,POLR2H,H2BC17,GATAD2A"
"GOTERM_BP_DIRECT","positive regulation of cAMP/PKA signal transduction","4","240","21","16251","3.43e-3","9.71e-1","12.90","9.97e-1","9.71e-1","2.28e-4","GO:0141163~positive regulation of cAMP/PKA signal transduction","NPS,APP,SCT,IAPP"
"REACTOME_PATHWAY","RNA Polymerase I Transcription","7","178","91","10908","3.58e-3","6.35e-2","4.71","9.68e-1","5.98e-2","7.00e-4","R-HSA-73864~RNA Polymerase I Transcription","H2BC8,H4C12,POLR2E,POLR2F,POLR2H,H2BC17,GATAD2A"
"REACTOME_PATHWAY","mRNA Polyadenylation","8","178","126","10908","4.40e-3","7.67e-2","3.89","9.85e-1","7.23e-2","1.05e-3","R-HSA-9770562~mRNA Polyadenylation","CPSF1,POLR2B,POLR2C,POLR2E,HNRNPU,POLR2F,YBX1,POLR2H"
"GOTERM_BP_DIRECT","extrinsic apoptotic signaling pathway via death domain receptors","5","240","47","16251","4.96e-3","1.00e+0","7.20","1.00e+0","1.00e+0","6.23e-4","GO:0008625~extrinsic apoptotic signaling pathway via death domain receptors","DDX3Y,SORT1,DAB2IP,HMGB2,DELE1"
"REACTOME_PATHWAY","Signaling by FGFR2 in disease","5","178","43","10908","5.05e-3","8.25e-2","7.13","9.92e-1","7.78e-2","6.37e-4","R-HSA-5655253~Signaling by FGFR2 in disease","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H"
"REACTOME_PATHWAY","Viral Messenger RNA Synthesis","5","178","43","10908","5.05e-3","8.25e-2","7.13","9.92e-1","7.78e-2","6.37e-4","R-HSA-168325~Viral Messenger RNA Synthesis","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H"
